Neighbourhood ID,Neighbourhood Name,"Rate per 100,000 people",Case Count
83,Dufferin Grove,4717.861689,556
4,Rexdale-Kipling,8101.434134,853
116,Steeles,4942.533404,1217
81,Trinity-Bellwoods,3467.02102,574
71,Cabbagetown-South St. James Town,4627.645899,540
58,Old East York,4180.656341,386
108,Briar Hill-Belgravia,8136.354072,1160
94,Wychwood,4118.75392,591
49,Bayview Woods-Steeles,4888.246921,643
21,Humber Summit,11307.98969,1404
86,Roncesvalles,3005.209029,450
70,South Riverdale,3138.900847,875
32,Englemount-Lawrence,9704.094404,2171
6,Kingsview Village-The Westway,9204.545455,2025
16,Stonegate-Queensway,3568.719812,894
73,Moss Park,5691.017263,1167
90,Junction Area,4719.476542,678
55,Thorncliffe Park,9560.356263,2018
137,Woburn,8578.106011,4588
31,Yorkdale-Glen Park,10794.3799,1598
3,Thistletown-Beaumond Heights,11833.97683,1226
56,Leaside-Bennington,2513.667697,423
7,Willowridge-Martingrove-Richview,6187.940061,1371
51,Willowdale East,2666.851727,1345
129,Agincourt North,4798.543606,1397
103,Lawrence Park South,2062.059424,313
10,Princess-Rosethorn,3474.798661,384
63,The Beaches,1697.03714,366
135,Morningside,8387.281581,1464
38,Lansing-Westgate,3353.130413,542
68,North Riverdale,2030.882847,242
82,Niagara,3245.670301,1012
79,University,4443.27593,338
127,Bendale,7630.173565,2286
24,Black Creek,13083.6822,2844
91,Weston-Pelham Park,8271.760678,918
69,Blake-Jones,3313.058108,256
125,Ionview,4904.332527,669
89,Runnymede-Bloor West Village,1996.027805,201
14,Islington-City Centre West,5611.281701,2467
120,Clairlea-Birchmount,7819.448562,2110
44,Flemingdon Park,8986.458761,1971
53,Henry Farm,7810.214336,1228
96,Casa Loma,3273.158279,359
133,Centennial Scarborough,5044.155067,674
85,South Parkdale,6554.075701,1432
29,Maple Leaf,13559.48966,1371
61,Taylor-Massey,6656.889626,1044
60,Woodbine-Lumsden,3649.078195,287
67,Playter Estates-Danforth,3459.764223,270
102,Forest Hill North,4841.480556,620
35,Westminster-Branson,9945.192966,2613
2,Mount Olive-Silverstone-Jamestown,12159.37367,4007
126,Dorset Park,8858.936928,2215
138,Eglinton East,8170.88163,1861
118,Tam O'Shanter-Sullivan,5556.365226,1525
104,Mount Pleasant West,4349.585272,1290
107,Oakwood Village,5926.449788,1257
76,Bay Street Corridor,2608.830484,673
9,Edenbridge-Humber Valley,4995.172192,776
114,Lambton Baby Point,3318.722605,265
98,Rosedale-Moore Park,2179.419777,456
62,East End-Danforth,3694.869276,790
124,Kennedy Park,7580.447352,1298
106,Humewood-Cedarvale,3849.634528,553
112,Beechborough-Greenbrook,10339.06036,680
117,L'Amoreaux,5753.188007,2531
1,West Humber-Clairville,12157.78098,4050
30,Brookhaven-Amesbury,9506.110266,1688
140,Guildwood,5203.186448,516
87,High Park-Swansea,2946.708464,705
123,Cliffcrest,5691.873235,907
134,Highland Creek,8364.014727,1045
139,Scarborough Village,11008.13203,1841
34,Bathurst Manor,9708.309708,1541
92,Corso Italia-Davenport,5978.914597,845
75,Church-Yonge Corridor,3860.880664,1210
,Missing Address/Postal Code,,2387
52,Bayview Village,2547.205085,545
97,Yonge-St.Clair,2378.671775,298
50,Newtonbrook East,2752.065602,443
20,Alderwood,4139.704662,499
27,York University Heights,11861.70406,3273
8,Humber Heights-Westmount,7325.538911,802
64,Woodbine Corridor,2663.264492,334
